WKT,nombre,descripción,
POINT (-77.0452692 38.9008114),Nodo 123,,
POINT (-77.0448991 38.9007133),Nodo 124,,
POINT (-77.0435043 38.900179),Nodo 125,,
POINT (-77.0433031 38.9001811),Nodo 126,,
POINT (-77.0428782 38.9000089),Nodo 127,,
POINT (-77.0423757 38.9002085),Nodo 128,,
POINT (-77.040709 38.8992893),Nodo 129,,
POINT (-77.0416999 38.9002168),Nodo 130,,
POINT (-77.0394415 38.9002272),Nodo 131,,
POINT (-77.037984 38.900248),Nodo 132,,
POINT (-77.03655 38.9002417),Nodo 133,,
POINT (-77.0351365 38.9002486),Nodo 134,,
POINT (-77.033653 38.9002063),Nodo 135,,
POINT (-77.0336622 38.8988452),Nodo 136,,
POINT (-77.0319341 38.8993691),Nodo 137,,
POINT (-77.0319065 38.9002213),Nodo 138,,
POINT (-77.0303401 38.9000167),Nodo 139,,
POINT (-77.0296105 38.8998288),Nodo 140,,
POINT (-77.0296588 38.8990231),Nodo 141,,
POINT (-77.0280656 38.8990732),Nodo 142,,
POINT (-77.028087 38.8998247),Nodo 143,,
POINT (-77.0270585 38.899809),Nodo 144,,
POINT (-77.0259749 38.8997965),Nodo 145,,
POINT (-77.0259803 38.89907),Nodo 146,,
POINT (-77.0240008 38.8990512),Nodo 147,,
POINT (-77.0239689 38.8998149),Nodo 148,,
POINT (-77.022958 38.8997994),Nodo 149,,
POINT (-77.0219548 38.8998077),Nodo 150,,
POINT (-77.0199271 38.8998035),Nodo 151,,
POINT (-77.0199271 38.8983256),Nodo 152,,
POINT (-77.0501445 38.9019738),Nodo 153,,
POINT (-77.0492969 38.9021449),Nodo 154,,
POINT (-77.0488141 38.90198),Nodo 155,,
POINT (-77.0466683 38.9013183),Nodo 156,,
POINT (-77.02191 38.8920746),Nodo 157,,
POINT (-77.021903 38.8938986),Nodo 158,,
POINT (-77.0199074 38.8944205),Nodo 159,,
POINT (-77.0463291 38.9012139),Nodo 160,,
POINT (-77.0449076 38.9013475),Nodo 161,,
POINT (-77.0434645 38.9013433),Nodo 162,,
POINT (-77.0417211 38.9013058),Nodo 163,,
